Двери Окна Время Группа Проникновение
1 40 Нормально Высокая Yes
2 20 Быстро Средняя Yes
1 0 Быстро Низкая Yes
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Нормально Низкая Yes
2 0 Быстро Низкая Yes
1 0 Нормально Низкая Yes
2 0 Нормально Низкая Yes
2 0 Нормально Низкая Yes
2 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
2 0 Нормально Низкая Yes
2 0 Нормально Низкая Yes
1 0 Быстро Низкая Yes
1 0 Нормально Низкая Yes
1 40 Нормально Высокая Yes
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Быстро Средняя Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
2 0 Быстро Низкая Yes
2 0 Нормально Низкая Yes
2 0 Нормально Низкая Yes
4 0 Нормально Низкая Yes
1 0 Быстро Низкая Yes
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Быстро Средняя Yes
1 20 Быстро Средняя Yes
3 20 Нормально Средняя No
1 0 Нормально Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 20 Быстро Средняя Yes
1 20 Быстро Средняя Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 0 Быстро Низкая Yes
1 0 Быстро Низкая Yes
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 0 Нормально Низкая Yes
1 20 Быстро Средняя Yes
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
1 20 Нормально Средняя No
